Object ID;Code;Code param;data-time;Level Water;Notate;Temp;Atm;Speed
1133987;76289;1;15.04.1993;410;;0;763;
1133988;76289;1;16.04.1993;405;;0;767;
1133989;76289;1;17.04.1993;400;;3;764;
1133990;76289;1;18.04.1993;397;;5;758;
1133991;76289;1;19.04.1993;407;;3;758;
1133992;76289;1;20.04.1993;430;;3;758;
1133993;76289;1;21.04.1993;442;;2;758;
1133994;76289;1;22.04.1993;439;;4;762;
1133995;76289;1;23.04.1993;433;;10;762;
1133996;76289;1;24.04.1993;436;;11;763;
1133997;76289;1;25.04.1993;464;;13;765;
1133998;76289;1;26.04.1993;488;;15;765;
1133999;76289;1;27.04.1993;504;;14;765;
1134000;76289;1;28.04.1993;511;;9;766;
1134001;76289;1;29.04.1993;510;;10;765;
1134002;76289;1;30.04.1993;500;;10;767;
1134003;76289;1;01.05.1993;493;;10;769;
1134004;76289;1;02.05.1993;483;;13;769;
1134005;76289;1;03.05.1993;463;;16;770;
1134006;76289;1;04.05.1993;441;;16;771;
1134007;76289;1;05.05.1993;415;;18;772;
1134008;76289;1;06.05.1993;380;;16;774;
1134009;76289;1;07.05.1993;344;;13;777;
1134010;76289;1;08.05.1993;315;;14;774;
1134011;76289;1;09.05.1993;287;;16;773;
1134012;76289;1;10.05.1993;255;;16;770;
1134013;76289;1;11.05.1993;222;;17;765;
1134014;76289;1;12.05.1993;193;;16;762;
1134015;76289;1;13.05.1993;164;;18;759;
1134016;76289;1;14.05.1993;157;;17;759;
1134017;76289;1;15.05.1993;133;;17;759;
1134018;76289;1;01.04.1995;81;;0;756;
1134019;76289;1;02.04.1995;98;;0;753;
1134020;76289;1;03.04.1995;136;;1;752;
1134021;76289;1;04.04.1995;177;;1;751;
1134022;76289;1;05.04.1995;216;;1;752;
1134023;76289;1;06.04.1995;259;;1;754;
1134024;76289;1;07.04.1995;301;;2;752;
1134025;76289;1;08.04.1995;303;;2;751;
1134026;76289;1;09.04.1995;383;;3;750;
1134027;76289;1;10.04.1995;484;;3;756;
1134028;76289;1;11.04.1995;544;;11;759;
1134029;76289;1;12.04.1995;590;;8;762;
1134030;76289;1;13.04.1995;634;;6;772;
1134031;76289;1;14.04.1995;674;;6;772;
1134032;76289;1;15.04.1995;706;;13;770;
1134033;76289;1;16.04.1995;736;;9;762;
1134034;76289;1;17.04.1995;760;;11;756;
1134035;76289;1;18.04.1995;773;;15;756;
1134036;76289;1;19.04.1995;774;;17;759;
1134037;76289;1;20.04.1995;765;;17;765;
1134038;76289;1;21.04.1995;755;;16;767;
1134039;76289;1;22.04.1995;748;;17;771;
1134040;76289;1;23.04.1995;742;;16;774;
1134041;76289;1;24.04.1995;742;;17;771;
1134042;76289;1;25.04.1995;741;;19;762;
1134043;76289;1;26.04.1995;736;;16;755;
1134044;76289;1;27.04.1995;727;;12;754;
1134045;76289;1;28.04.1995;711;;14;753;
1134046;76289;1;29.04.1995;693;;11;755;
1134047;76289;1;30.04.1995;670;;7;759;
1134048;76289;1;01.05.1995;623;;3;764;
1134049;76289;1;02.05.1995;558;;0;768;
1134050;76289;1;03.05.1995;502;;5;768;
1134051;76289;1;04.05.1995;444;;9;761;
1134052;76289;1;05.05.1995;387;;10;759;
1134053;76289;1;06.05.1995;345;;8;759;
1134054;76289;1;07.05.1995;308;;10;756;
1134055;76289;1;08.05.1995;277;;12;753;
1134056;76289;1;09.05.1995;246;;12;750;
1134335;76288;1;02.04.2008;503;ледоход;8;754;2
1134336;76289;1;02.04.2008;172;ледоход;8;754;2
1134345;76288;1;01.04.2008;462;;9;756;4
1134346;76289;1;01.04.2008;55;;9;756;4
1134355;76288;1;07.04.2008;629;;16;758;2
1134356;76289;1;07.04.2008;372;;16;758;2
1134365;76288;1;03.04.2008;524;ледоход;13;753;2
1134366;76289;1;03.04.2008;228;ледоход;13;753;2
1134375;76288;1;04.04.2008;593;ледоход;13;751;3
1134376;76289;1;04.04.2008;280;чисто;13;751;3
1134385;76288;1;06.04.2008;631;чисто;12;757;3
1134386;76289;1;06.04.2008;360;чисто;12;757;3
1134395;76288;1;05.04.2008;621;;9;752;2
1134396;76289;1;05.04.2008;328;;9;752;2
1134405;76288;1;08.04.2008;624;;18;758;5
1134406;76289;1;08.04.2008;377;;18;758;5
1135811;76288;1;01.04.1979;417;;18;758;5
1135812;76288;1;02.04.1979;447;;;;
1135813;76288;1;03.04.1979;457;;;;
1135814;76288;1;04.04.1979;462;;;;
1135815;76288;1;05.04.1979;496;;;;
1135816;76288;1;06.04.1979;524;;;;
1135817;76288;1;07.04.1979;534;;;;
1135818;76288;1;08.04.1979;554;;;;
1135819;76288;1;09.04.1979;579;;;;
1135820;76288;1;10.04.1979;598;;;;
1135821;76288;1;11.04.1979;627;;;;
1135822;76288;1;12.04.1979;684;;;;
1135823;76288;1;13.04.1979;749;;;;
1135824;76288;1;14.04.1979;826;;;;
1135825;76288;1;15.04.1979;882;;;;
1135826;76288;1;16.04.1979;928;;;;
1135827;76288;1;17.04.1979;956;;;;
1135828;76288;1;18.04.1979;978;;;;
1135829;76288;1;19.04.1979;992;;;;
1135830;76288;1;20.04.1979;1000;;;;
1135831;76288;1;21.04.1979;998;;;;
1135832;76288;1;22.04.1979;986;;;;
1135833;76288;1;23.04.1979;978;;;;
1135834;76288;1;24.04.1979;976;;;;
1135835;76288;1;25.04.1979;973;;;;
1135836;76288;1;26.04.1979;960;;;;
1135837;76288;1;27.04.1979;945;;;;
1135838;76288;1;28.04.1979;928;;;;
1135839;76288;1;29.04.1979;895;;;;
1135840;76288;1;30.04.1979;845;;;;
1135841;76288;1;01.05.1979;762;;;;
1135842;76288;1;02.05.1979;681;;;;
1135843;76288;1;03.05.1979;616;;;;
1135844;76288;1;04.05.1979;557;;;;
1135845;76288;1;05.05.1979;523;;;;
1135846;76288;1;06.05.1979;493;;;;
1135847;76288;1;07.05.1979;461;;;;
1135848;76288;1;08.05.1979;427;;;;
1135849;76288;1;09.05.1979;404;;;;
1135850;76288;1;10.05.1979;390;;;;
1135851;76288;1;11.05.1979;373;;;;
1135852;76288;1;12.05.1979;354;;;;
1135853;76288;1;13.05.1979;338;;;;
1135854;76288;1;14.05.1979;326;;;;
1135855;76288;1;15.05.1979;314;;;;
1135856;76288;1;01.04.1988;281;;;;
1135857;76288;1;02.04.1988;302;;;;
1135858;76288;1;03.04.1988;329;;;;
1135859;76288;1;04.04.1988;379;;;;
1135860;76288;1;05.04.1988;431;;;;
1135861;76288;1;06.04.1988;494;;;;
1135862;76288;1;07.04.1988;542;;;;
1135863;76288;1;08.04.1988;624;;;;
1135864;76288;1;09.04.1988;614;;;;
1135865;76288;1;10.04.1988;687;;;;
1135866;76288;1;11.04.1988;772;;;;
1135867;76288;1;12.04.1988;818;;;;
1135868;76288;1;13.04.1988;835;;;;
1135869;76288;1;14.04.1988;838;;;;
1135870;76288;1;15.04.1988;846;;;;
1135871;76288;1;16.04.1988;865;;;;
1135872;76288;1;17.04.1988;860;;;;
1135873;76288;1;18.04.1988;847;;;;
1135874;76288;1;19.04.1988;835;;;;
1135875;76288;1;20.04.1988;830;;;;
1135876;76288;1;21.04.1988;817;;;;
1135877;76288;1;22.04.1988;795;;;;
1135878;76288;1;23.04.1988;776;;;;
1135879;76288;1;24.04.1988;777;;;;
1135880;76288;1;25.04.1988;791;;;;
1135881;76288;1;26.04.1988;784;;;;
1135882;76288;1;27.04.1988;756;;;;
1135883;76288;1;28.04.1988;736;;;;
1135884;76288;1;29.04.1988;736;;;;
1135885;76288;1;30.04.1988;711;;;;
1135886;76288;1;01.05.1988;669;;;;
1135887;76288;1;02.05.1988;628;;;;
1135888;76288;1;03.05.1988;597;;;;
1135889;76288;1;04.05.1988;561;;;;
1135890;76288;1;05.05.1988;533;;;;
1135891;76288;1;06.05.1988;511;;;;
1135892;76288;1;07.05.1988;485;;;;
1135893;76288;1;08.05.1988;461;;;;
1135894;76288;1;09.05.1988;439;;;;
1135895;76288;1;10.05.1988;429;;;;
1135896;76288;1;11.05.1988;435;;;;
1135897;76288;1;12.05.1988;428;;;;
1135898;76288;1;13.05.1988;411;;;;
1135899;76288;1;14.05.1988;395;;;;
1135900;76288;1;15.05.1988;383;;;;
1135901;76288;1;01.04.1990;272;;;;
1135902;76288;1;02.04.1990;286;;;;
1135903;76288;1;03.04.1990;311;;;;
1135904;76288;1;04.04.1990;336;;;;
1135905;76288;1;05.04.1990;366;;;;
1135906;76288;1;06.04.1990;397;;;;
1135907;76288;1;07.04.1990;445;;;;
1135908;76288;1;08.04.1990;469;;;;
1135909;76288;1;09.04.1990;512;;;;
1135910;76288;1;10.04.1990;470;;;;
1135911;76288;1;11.04.1990;403;;;;
1135912;76288;1;12.04.1990;376;;;;
1135913;76288;1;13.04.1990;358;;;;
1135914;76288;1;14.04.1990;320;;;;
1135915;76288;1;15.04.1990;349;;;;
1135916;76288;1;16.04.1990;464;;;;
1135917;76288;1;17.04.1990;584;;;;
1135918;76288;1;18.04.1990;636;;;;
1135919;76288;1;19.04.1990;663;;;;
1135920;76288;1;20.04.1990;689;;;;
1135921;76288;1;21.04.1990;687;;;;
1135922;76288;1;22.04.1990;672;;;;
1135923;76288;1;23.04.1990;674;;;;
1135924;76288;1;24.04.1990;714;;;;
1135925;76288;1;25.04.1990;765;;;;
1135926;76288;1;26.04.1990;800;;;;
1135927;76288;1;27.04.1990;813;;;;
1135928;76288;1;28.04.1990;816;;;;
1135929;76288;1;29.04.1990;822;;;;
1135930;76288;1;30.04.1990;825;;;;
1135931;76288;1;01.05.1990;829;;;;
1135932;76288;1;02.05.1990;830;;;;
1135933;76288;1;03.05.1990;825;;;;
1135934;76288;1;04.05.1990;827;;;;
1135935;76288;1;05.05.1990;846;;;;
1135936;76288;1;06.05.1990;878;;;;
1135937;76288;1;07.05.1990;902;;;;
1135938;76288;1;08.05.1990;910;;;;
1135939;76288;1;09.05.1990;918;;;;
1135940;76288;1;10.05.1990;940;;;;
1135941;76288;1;11.05.1990;967;;;;
1135942;76288;1;12.05.1990;992;;;;
1135943;76288;1;13.05.1990;996;;;;
1135944;76288;1;14.05.1990;991;;;;
1135945;76288;1;15.05.1990;998;;;;
1135946;76288;1;01.04.1991;388;;1;759;
1135947;76288;1;02.04.1991;509;;4;757;
1135948;76288;1;03.04.1991;580;;8;760;
1135949;76288;1;04.04.1991;654;;10;765;
1135950;76288;1;05.04.1991;732;;7;767;
1135951;76288;1;06.04.1991;806;;4;768;
1135952;76288;1;07.04.1991;873;;6;767;
1135953;76288;1;08.04.1991;910;;6;768;
1135954;76288;1;09.04.1991;939;;9;768;
1135955;76288;1;10.04.1991;959;;10;771;
1135956;76288;1;11.04.1991;973;;9;774;
1135957;76288;1;12.04.1991;986;;10;774;
1135958;76288;1;13.04.1991;993;;10;772;
1135959;76288;1;14.04.1991;991;;12;769;
1135960;76288;1;15.04.1991;990;;7;760;
1135961;76288;1;16.04.1991;989;;5;755;
1135962;76288;1;17.04.1991;987;;6;751;
1135963;76288;1;18.04.1991;983;;6;756;
1135964;76288;1;19.04.1991;975;;5;758;
1135965;76288;1;20.04.1991;965;;12;753;
1135966;76288;1;21.04.1991;953;;6;756;
1135967;76288;1;22.04.1991;932;;2;762;
1135968;76288;1;23.04.1991;907;;0;759;
1135969;76288;1;24.04.1991;866;;3;765;
1135970;76288;1;25.04.1991;796;;6;768;
1135971;76288;1;26.04.1991;708;;7;768;
1135972;76288;1;27.04.1991;616;;5;767;
1135973;76288;1;28.04.1991;551;;8;771;
1135974;76288;1;29.04.1991;508;;7;769;
1135975;76288;1;30.04.1991;470;;10;765;
1135976;76288;1;01.05.1991;446;;13;762;
1135977;76288;1;02.05.1991;129;;14;761;
1135978;76288;1;03.05.1991;412;;17;763;
1135979;76288;1;04.05.1991;392;;13;762;
1135980;76288;1;05.05.1991;376;;14;756;
1135981;76288;1;06.05.1991;360;;11;752;
1135982;76288;1;07.05.1991;353;;10;755;
1135983;76288;1;08.05.1991;343;;10;757;
1135984;76288;1;09.05.1991;335;;10;757;
1135985;76288;1;10.05.1991;326;;3;764;
1135986;76288;1;11.05.1991;311;;8;767;
1135987;76288;1;12.05.1991;300;;11;762;
1135988;76288;1;13.05.1991;292;;15;758;
1135989;76288;1;14.05.1991;283;;12;757;
1135990;76288;1;15.05.1991;275;;14;759;
1135991;76288;1;01.04.1992;360;;1;760;
1135992;76288;1;02.04.1992;483;;3;763;
1135993;76288;1;03.04.1992;638;;6;763;
1135994;76288;1;04.04.1992;710;;8;761;
1135995;76288;1;05.04.1992;750;;9;756;
1135996;76288;1;06.04.1992;730;;7;756;
1135997;76288;1;07.04.1992;680;;7;751;
1135998;76288;1;08.04.1992;630;;3;754;
1135999;76288;1;09.04.1992;611;;1;756;
1136000;76288;1;10.04.1992;619;;0;759;
1136001;76288;1;11.04.1992;638;;-1;759;
1136002;76288;1;12.04.1992;675;;0;758;
1136003;76288;1;13.04.1992;744;;5;756;
1136004;76288;1;14.04.1992;806;;7;755;
1136005;76288;1;15.04.1992;846;;8;756;
1136006;76288;1;16.04.1992;866;;8;760;
1136007;76288;1;17.04.1992;873;;11;757;
1136008;76288;1;18.04.1992;874;;6;761;
1136009;76288;1;19.04.1992;860;;5;756;
1136010;76288;1;20.04.1992;835;;7;750;
1136011;76288;1;21.04.1992;799;;4;751;
1136012;76288;1;22.04.1992;762;;2;752;
1136013;76288;1;23.04.1992;729;;1;753;
1136014;76288;1;24.04.1992;696;;2;754;
1136015;76288;1;25.04.1992;639;;1;763;
1136016;76288;1;26.04.1992;575;;3;768;
1136017;76288;1;27.04.1992;524;;3;765;
1136018;76288;1;28.04.1992;487;;9;765;
1136019;76288;1;29.04.1992;469;;10;770;
1136020;76288;1;30.04.1992;459;;11;769;
1136021;76288;1;01.05.1992;462;;12;769;
1136022;76288;1;02.05.1992;547;;13;766;
1136023;76288;1;03.05.1992;570;;17;764;
1136024;76288;1;04.05.1992;539;;14;761;
1136025;76288;1;05.05.1992;498;;8;765;
